순번,이름,휴대전화,이메일,학과
0059,지명구,010-1040-0059,dsa059@dgu.edu,경영정보학과
0060,지명백,010-1040-0060,dsa060@dgu.edu,경영정보학과
0061,백일철,010-1040-0061,dsa061@dgu.edu,통계학과
0062,백이철,010-1040-0062,dsa062@dgu.edu,통계학과
0063,백삼철,010-1040-0063,dsa063@dgu.edu,통계학과
0064,백산철,010-1040-0064,dsa064@dgu.edu,통계학과
0065,백오철,010-1040-0065,dsa065@dgu.edu,통계학과
0066,백유철,010-1040-0066,dsa066@dgu.edu,산업시스템학과
0067,백칠철,010-1040-0067,dsa067@dgu.edu,산업시스템학과
0068,백파철,010-1040-0068,dsa068@dgu.edu,산업시스템학과
0069,백구철,010-1040-0069,dsa069@dgu.edu,산업시스템학과
0070,백백철,010-1040-0070,dsa070@dgu.edu,산업시스템학과
0071,백11철,010-1040-0071,dsa071@dgu.edu,생명과학과
0072,차순일,010-1040-0072,dsa072@dgu.edu,생명과학과
0073,차순이,010-1040-0073,dsa073@dgu.edu,생명과학과
0074,차순삼,010-1040-0074,dsa074@dgu.edu,생명과학과
0075,차순산,010-1040-0075,dsa075@dgu.edu,생명과학과
0076,차순오,010-1040-0076,dsa076@dgu.edu,건설환경공학과
0077,차순유,010-1040-0077,dsa077@dgu.edu,건설환경공학과
0078,차순칠,010-1040-0078,dsa078@dgu.edu,건설환경공학과
0079,차순파,010-1040-0079,dsa079@dgu.edu,건설환경공학과
0080,차순구,010-1040-0080,dsa080@dgu.edu,건설환경공학과
0081,허일호,010-1040-0081,dsa081@dgu.edu,사학과
0082,허이호,010-1040-0082,dsa082@dgu.edu,사학과
0083,허삼호,010-1040-0083,dsa083@dgu.edu,사학과
0084,허산호,010-1040-0084,dsa084@dgu.edu,사학과
0085,허오호,010-1040-0085,dsa085@dgu.edu,사학과
0086,허유호,010-1040-0086,dsa086@dgu.edu,지능공학전공
0087,허칠호,010-1040-0087,dsa087@dgu.edu,지능공학전공
0088,허파호,010-1040-0088,dsa088@dgu.edu,지능공학전공
0089,허구호,010-1040-0089,dsa089@dgu.edu,지능공학전공
0090,허백호,010-1040-0090,dsa090@dgu.edu,지능공학전공
0091,장일숙,010-1040-0091,dsa091@dgu.edu,영화영상학과
0092,장이숙,010-1040-0092,dsa092@dgu.edu,영화영상학과
0093,장삼숙,010-1040-0093,dsa093@dgu.edu,영화영상학과
0094,장산숙,010-1040-0094,dsa094@dgu.edu,영화영상학과
0095,장오숙,010-1040-0095,dsa095@dgu.edu,영화영상학과
0096,장유숙,010-1040-0096,dsa096@dgu.edu,전자전기공학부
0097,장칠숙,010-1040-0097,dsa097@dgu.edu,전자전기공학부
0098,장파숙,010-1040-0098,dsa098@dgu.edu,전자전기공학부
0099,장구숙,010-1040-0099,dsa099@dgu.edu,전자전기공학부
0100,장백숙,010-1040-0100,dsa100@dgu.edu,전자전기공학부
